# ============================================================================
# MAIN_LOG.txt  --  Global project timeline
# Every track appends a dated line here. Newest at the bottom.
# Format: [YYYY-MM-DD HH:MM] <TRACK> | <event>
# ============================================================================

[2026-09-11 01:07] SCAFFOLD | Project kickoff. Provider=BytePlus (OpenAI-compatible).
[2026-09-11 01:07] SCAFFOLD | Verified 3 models respond: dola-seed-2-1-turbo-260628, deepseek-v4-pro-ga-260813, deepseek-v4-flash-ga-260731.
[2026-09-11 01:07] SCAFFOLD | Goal: NEW paper covering FULL thesis (Generate + Execution). "Generate test" = prior published work, reference only.

[2026-09-11 01:13] TRACK_E | Done. 19 net-new (2025-2026) papers surveyed via web search; field shift generation->autonomous execution documented. Wrote new_papers.csv + REPORT.md; posted Related-Work/Gaps block to writer_inbox.txt.
[2026-09-11 01:13] TRACK_A | Literature review done. PRISMA over 14 queries; 20 papers included -> systematic_review.csv + REPORT.md. Report posted to writer_inbox. Themes: top-down vs agentic, rigor gap, context amnesia.
[2026-09-11 01:13] TRACK_A | DONE. systematic_review.csv (20 papers) + REPORT.md + writer_inbox block.
[2026-09-11 01:13] TRACK_E | DONE. new_papers.csv (19 papers) + REPORT.md + writer_inbox block.
[2026-09-11 01:20] TRACK_B | DONE. Baseline fidelity audit: all 3 FAITHFUL. REPORT.md + writer_inbox block. Run blocker = provider re-point to BytePlus (Option A, verified in code).
[2026-09-11 01:25] TRACK_C/D | MAJOR DISCOVERY: web_testing_capstone_enhance-nhat/ contains the thesis EXECUTION-PHASE (TEAA) implementation + real artifacts: screenshots/, mutation_test_case/, generated_testcase_action_{first..forth}_attempt/, CustomLLMDroid (baseline 5 LLMDroid), LLMDroid/, success_*.json execution traces, test_result*.xlsx, *.png analysis plots, full-teaching-system-design.pdf (FullTeaching SRS), analyze_*.py scripts. This is the missing 2nd half already built by authors. Changes Track D from build-from-scratch to study+reproduce/verify.
[2026-09-11 01:25] TRACK_C | intellitest DeepSeekProvider reads config.DEEPSEEK_API_KEY/BASE_URL/MODEL -> Option A (point deepseek env at BytePlus) works for the generation pipeline too. Blocker: no 4lv SRS PDF in intellitest/input; but full-teaching-system-design.pdf exists and can be the SRS input.
[2026-09-11 03:45] TRACK_A | EXPANSION DONE. systematic_review.csv expanded 20 -> 77 unique papers (>50 required). Split: 20 original + 16 Track_E + 41 new PRISMA searches (~30 queries). Deduped by title+arXiv id; verified 77 data rows/11 cols/0 dup titles. REPORT.md PRISMA flow revised; writer_inbox updated. FINAL_COUNT=77.

[2026-09-11 03:35] TRACK_A | EXPANDED to 77 unique papers (was 20). related_articles.xlsx rebuilt: 3 sheets, 96 ref rows. Steering requirement (>50) met.
[2026-09-11 03:35] TRACK_C | TOKEN TRACKING WORKING. Full pipeline on 4LV sample (2 UCs): 40 calls, 429,097 total tokens (201,417 in + 227,680 out), ~$0.17 placeholder, 1667.9s summed latency. Dominated by test_case_generator (360K, 84%). Instrumentation added AFTER first flash FullTeaching run so that one lacks tokens; all subsequent runs logged.
[2026-09-11 03:35] TRACK_C | 4LV note: srs_extracted_4lv.json is a 2-use-case SAMPLE, NOT the full RetailOnboardPro SRS (thesis: 10 UC/8 screens/75 rules). Rendered to PDF via fpdf2. Results on it = LIMITED SAMPLE, flagged for writer.
[2026-09-11 03:35] TRACK_D | FullTeaching cloned from github.com/elastest/full-teaching (needed git core.longpaths=true for Windows). Maven Spring app + docker-compose present. Docker 29.7.2 running. Deploy attempt pending.
[2026-09-11 06:10] TRACK_D | FullTeaching DEPLOYED via docker compose (elastest images). 3 containers Up: full-teaching (5000/HTTPS), mysql (3306), openvidu-kms (8443). App boot OK ("Started Application in 14.36s"). https://localhost:5000/ -> HTTP 200. NOTE: serves HTTPS not HTTP (http gets 400). Test accounts: teacher@gmail.com/pass, student1@gmail.com/pass, student2@gmail.com/pass. SUT for execution phase is LIVE.
[2026-09-11 06:10] TRACK_E | Yun Lin (SJTU) found. WebTestPilot (FSE'26, arXiv:2602.11724) = closest execution-phase prior art. 5 papers added to review (now 82). Dossier written.
