Paper_Title,Authors,Year,Venue,Link,Novelty,Advance_Over_Prior,Relevance_To_Execution_Phase
"Are Autonomous Web Agents Good Testers? (PinATA / SeeAct-ATA)","J. Bergeron, F. Bordeleau, et al. [estimated]",2025,"arXiv:2504.01495 [estimated: under submission ICST/ICSE workshop]","https://arxiv.org/abs/2504.01495","Empirically evaluates LLM-based Autonomous Test Agents (ATAs) that execute manual NL test cases and issue pass/fail verdicts; introduces PinATA (multi-agent decomposition) and SeeAct-ATA baseline; ~60% correct verdict, up to 94% specificity.","Prior work stops at GENERATING test cases from business processes; this paper studies the EXECUTION+VERDICT step — the exact missing half of the IntelliTest thesis — and quantifies ATA reliability limits.","VERY HIGH — directly about autonomous execution and oracle/verdict of functional UAT scenarios; primary anchor for the execution contribution."
"On the Soundness and Consistency of LLM Agents for Executing Test Cases Written in Natural Language","[estimated: authors not confirmed]",2025,"arXiv:2509.19136","https://arxiv.org/abs/2509.19136","Formal study of soundness (false failures from ambiguous NL) and consistency (nondeterministic re-runs) when LLM agents execute NL test cases.","Prior work assumes generated cases are the deliverable; this exposes reliability/flakiness risks in the EXECUTION of NL tests — a threat-to-validity the new paper must address for its execution half.","VERY HIGH — defines the reliability/flakiness challenge of NL-driven test execution agents; key related-work + threats-to-validity citation."
"AI Agents for Web Testing (WebProber)","[estimated: authors not confirmed]",2025,"arXiv:2509.05197","https://arxiv.org/abs/2509.05197","Prototype AI-agent framework that, given a URL, autonomously explores a site, simulates real user interactions, detects bugs/usability issues, and produces human-readable reports.","Adds autonomous EXPLORATION + bug/usability detection with human-like interaction, beyond static generation of business-process test cases.","HIGH — autonomous web exploration and defect reporting is a form of the execution/UAT-agent capability."
"Autonomous Intelligent Agents for Natural-Language-Driven Web Execution with Integrated Security Assurance","[estimated: authors not confirmed]",2026,"arXiv:2605.15281","https://arxiv.org/abs/2605.15281","NL-driven web execution agents that generate Selenium scripts; raises script-generation success 55%->93%, 8x fewer navigation failures, 80% fewer timing races, 75% less test-creation time; integrates security assurance.","Goes past generation into robust NL-to-executable-script EXECUTION with quantified reliability gains and security checks — directly relevant to production UAT execution.","VERY HIGH — end-to-end NL-to-execution pipeline with concrete execution-reliability metrics."
"A Zero-Cost Self-Healing Approach Using DOM Accessibility Tree Extraction (Beyond LLM-based test automation)","[estimated: authors not confirmed]",2026,"arXiv:2603.20358","https://arxiv.org/abs/2603.20358","Replaces per-run LLM discovery with structured accessibility-tree extraction; self-heals only broken selectors (<1s, zero human intervention); scales to 300+ tests at zero ongoing API cost.","Prior work does not touch execution maintenance; this tackles brittle-locator self-healing and DOM-abstraction for durable EXECUTION at scale/low cost.","VERY HIGH — self-healing + DOM/accessibility-tree abstraction are core execution-phase mechanics."
"Practical Limits of Autonomous Test Repair: A Multi-Agent Case Study with LLM-Driven Discovery and Self-Correction","[estimated: authors not confirmed]",2026,"arXiv:2605.01471","https://arxiv.org/abs/2605.01471","Analyzes 300 autonomous execution reports / 636 test-case executions across 10 scenario families; 70% repair-convergence rate, mean 4.4 repair iterations.","Provides empirical limits of autonomous self-repair during EXECUTION — grounds realistic expectations for the execution contribution.","VERY HIGH — quantifies autonomous repair/self-correction during test execution."
"Framework and Benchmark for Code-Driven Agentic Testing in Web Development (CAT)","[estimated: authors not confirmed]",2026,"arXiv:2609.00081","https://arxiv.org/abs/2609.00081","Introduces Code-driven Agentic Testing: agent writes Playwright code to drive the browser, gathers feedback, autonomously explores web apps to find bugs; provides a benchmark for VLM bug-discovery.","Introduces a paradigm and BENCHMARK for agentic end-to-end web execution/bug-finding — prior work lacked any execution benchmark.","VERY HIGH — execution paradigm + benchmark; useful for evaluating the new execution half."
"HxAgent: Iterative Agent Planning for End-to-End Web Application Testing","[estimated: authors not confirmed]",2026,"arXiv:2608.15491","https://arxiv.org/abs/2608.15491","Iterative planning agent for E2E web testing; 97.4% Exact-Match on MiniWoB++, 83.8% EM / 91.8% Prefix-Match on 350 web tasks, beating WALT by 10-13%.","Advances autonomous EXECUTION planning accuracy on web tasks well beyond static generation.","HIGH — iterative execution planning for E2E web app testing."
"LLM-Guided Scenario-based GUI Testing (ScenGen)","[estimated: authors not confirmed]",2025,"arXiv:2506.05079","https://arxiv.org/abs/2506.05079","Five-agent LLM pipeline (Observer, Decider, Executor, Supervisor, Recorder) that maps app business logic to scenario-based GUI tests and executes them.","Extends business-logic-aware testing into a MULTI-AGENT EXECUTION loop on mobile GUI, versus prior single-phase generation.","HIGH — multi-agent architecture spanning perceive->decide->execute->verify; template for execution agents."
"Multi-Agent LLMs for End-to-End JUnit Test Generation with Accurate Oracles (CANDOR)","[estimated: authors not confirmed]",2025,"arXiv:2506.02943","https://arxiv.org/abs/2506.02943","Multi-agent LLM framework generating complete JUnit tests incl. oracles via a consensus panel discussion to curb hallucinated oracles.","Improves ORACLE correctness through multi-agent consensus — advances the oracle quality problem beyond single-shot generation.","MEDIUM — oracle-correctness techniques transfer to execution-verdict reliability."
