Paper_Title,Authors,Year,Venue,Published_Link,Quartile,Brief_Summary,Problem_Solved,Methodology_Short,Type,Original_Link
"Software Testing with Large Language Models: Survey, Landscape, and Vision","Junjie Wang, Yuchao Huang, Chunyang Chen, Zhe Liu, Song Wang, Qing Wang",2024,IEEE Transactions on Software Engineering (TSE),https://ieeexplore.ieee.org/document/10440574,Q1 [estimated],"Foundational survey mapping how LLMs are applied across software testing tasks, from unit test generation to bug analysis, with a landscape and research vision.",Lack of a consolidated view of the fast-growing LLM-for-testing field.,Systematic survey of 102 papers organized by testing task and LLM usage pattern.,survey,https://arxiv.org/html/2307.07221v2
Large Language Models for Software Engineering: A Systematic Literature Review,"Xinyi Hou, Yanjie Zhao, Yue Liu, Zhou Yang, Kailong Wang, Li Li, Xiapu Luo, David Lo, John Grundy, Haoyu Wang",2024,ACM Transactions on Software Engineering and Methodology (TOSEM),https://dl.acm.org/doi/10.1145/3695988,Q1 [estimated],"Broad SLR of LLM applications across the software engineering lifecycle, including a substantial testing sub-area, with taxonomies of models, tasks, and data.","Fragmented understanding of LLM applications, effects, and limitations across SE.",PRISMA-style SLR covering 395+ studies with multi-dimensional taxonomy.,review,https://arxiv.org/pdf/2308.10620
"Foundation Models in Software Engineering: A Taxonomy, Systematic Review, and In-Depth Analysis of Testing Support",MDPI Information authors [estimated],2026,Information (MDPI),https://www.mdpi.com/2078-2489/17/1/73,Q2 [estimated],"Systematic review of 224 studies on foundation models across the SDLC, finding heavy concentration on implementation and testing; two-dimensional lifecycle x capability taxonomy.","Uneven, poorly characterized adoption of foundation models across SDLC phases.",Systematic review of 224 studies with a two-dimensional taxonomy.,review,https://www.mdpi.com/2078-2489/17/1/73/htm
No More Manual Tests? Evaluating and Improving ChatGPT for Unit Test Generation,"Zhiqiang Yuan, Yiling Lou, Mingwei Liu, Shiji Ding, Kaixin Wang, Yixuan Chen, Xin Peng",2024,Proceedings of the ACM on Software Engineering / FSE (ACM),https://dl.acm.org/doi/10.1145/3660783,Q1 [estimated],First large empirical study of ChatGPT unit test generation; passing tests rival human tests on coverage/readability but many suffer compilation/assertion errors. Introduces ChatTester.,Understanding correctness and quality gaps of LLM-generated unit tests.,Empirical evaluation on 1000+ focal methods plus an iterative refinement approach (ChatTester).,empirical,https://arxiv.org/html/2305.04207v3
An Empirical Study of Unit Test Generation with Large Language Models,"Lin Yang, Chen Yang, Shutao Gao, Weijing Wang, Bo Wang, Qihao Zhu, Xiao Chu, Jianyi Zhou, Guangtai Liang, Qianxiang Wang, Junjie Chen",2024,arXiv preprint (empirical study),https://arxiv.org/abs/2406.18181,Q3 [estimated],"Empirical study of open-source LLMs with varied prompting for unit test generation, comparing against closed-source models and prompting strategies.",Under-explored capabilities of open-source LLMs and prompting settings for unit tests.,Empirical comparison across multiple open-source LLMs and prompt configurations.,empirical,https://arxiv.org/html/2406.18181v1
ChatUniTest: A ChatGPT-based Automated Unit Test Generation Tool,"Zhuokui Xie, Yinghao Chen, Chen Zhi, Shuiguang Deng, Jianwei Yin",2024,Companion Proceedings FSE / ACM (tool demo),https://dl.acm.org/doi/10.1145/3663529.3663801,Q2 [estimated],"Tool that parses the project, builds an adaptive focal context within token limits, and validates/repairs ChatGPT-generated unit tests.",LLM unit test generation is limited by context window and validation of outputs.,Adaptive focal-context construction plus generation-validation-repair loop.,tool,https://arxiv.org/html/2305.04764v1
Automatic High-Level Test Case Generation using Large Language Models,"Navid Bin Hasan, Md. Ashraful Islam, Junaed Younus Khan, Sanjida Senjik, Anindya Iqbal [estimated]",2025,arXiv preprint,https://arxiv.org/abs/2503.17998,Q3 [estimated],"Generates high-level (functional) test cases from requirements using GPT-4o, Gemini, LLaMA and Mistral; fine-tuning improves smaller models; human evaluation confirms usefulness.",Bridging requirements to high-level functional test cases with LLMs.,Multi-model evaluation with fine-tuning and human evaluation survey.,empirical,https://arxiv.org/html/2503.17998v1
Generating High-Level Test Cases from Requirements using LLM,Authors [estimated],2025,arXiv preprint,https://arxiv.org/abs/2510.03641,Q3 [estimated],"Two-stage pipeline: LLM first infers applicable test design techniques from a requirement document, then generates high-level test cases per technique.","Producing systematic, technique-grounded functional test cases from requirements.",Test-design-technique inference followed by per-technique test generation.,tool,https://arxiv.org/html/2510.03641v1
AI-Driven Test Case Generation from Natural Language Requirements,Authors [estimated],2026,arXiv preprint,https://arxiv.org/abs/2606.06563,Q3 [estimated],"Addresses requirements-based test generation directly from NL, tackling ambiguity, traceability, evaluation thoroughness, and hallucination control.",Ambiguity and imprecision when deriving tests directly from NL requirements.,"Framework with emphasis on ambiguity handling, traceability and hallucination control.",tool,https://arxiv.org/pdf/2606.06563v2
A Tool for Test Case Scenarios Generation Using Large Language Models,Authors [estimated],2024,arXiv preprint,https://arxiv.org/abs/2406.07021,Q3 [estimated],"Web-based tool using an LLM agent and prompt engineering to generate epics, high-level user stories, and test case scenarios from user requirements.",Automating traceable test scenario generation from user requirements.,LLM-agent tool with prompt engineering over a user-story pipeline.,tool,https://arxiv.org/html/2406.07021v1
